K,method,PSNR,SSIM
3,baseline_mean,16.07031883297841,0.2995645999908447
3,trimmed_mean,14.257129319109323,0.25433436036109924
3,median,14.257129319109323,0.25433436036109924
3,mean_gaussian_filter,21.20159359755386,0.489772230386734
5,baseline_mean,18.074537843560808,0.3672865629196167
5,trimmed_mean,17.1847116649016,0.3432168960571289
5,median,15.950910896488061,0.3080865442752838
5,mean_gaussian_filter,21.912981614363925,0.556675910949707
7,baseline_mean,19.335480368316976,0.4134136140346527
7,trimmed_mean,18.8315827852526,0.3962984085083008
7,median,17.175793173389064,0.3475671112537384
7,mean_gaussian_filter,22.266662262214197,0.5995782017707825
9,baseline_mean,20.235533766900158,0.4486103057861328
9,trimmed_mean,19.976161046364535,0.43517613410949707
9,median,18.12810256069038,0.37837257981300354
9,mean_gaussian_filter,22.472134608377694,0.6301186680793762
11,baseline_mean,20.921859786284497,0.47676828503608704
11,trimmed_mean,20.838208741212053,0.4656927287578583
11,median,18.908403443017953,0.4037322700023651
11,mean_gaussian_filter,22.603879864092022,0.6526156067848206
13,baseline_mean,21.473888427238023,0.5005961060523987
13,trimmed_mean,21.523871587478418,0.4912143051624298
13,median,19.57796824618375,0.42583489418029785
13,mean_gaussian_filter,22.700001521675716,0.6704245209693909
15,baseline_mean,21.926126183914043,0.5210844874382019
15,trimmed_mean,22.078413600702206,0.5129239559173584
15,median,20.155998992231158,0.4447871446609497
15,mean_gaussian_filter,22.77013573725222,0.6849133372306824
