frame_index,start_sec,end_sec,label
0,0.000,0.010,0
1,0.010,0.020,0
2,0.020,0.030,0
3,0.030,0.040,0
4,0.040,0.050,0
5,0.050,0.060,0
6,0.060,0.070,0
7,0.070,0.080,0
8,0.080,0.090,0
9,0.090,0.100,0
10,0.100,0.110,0
11,0.110,0.120,0
12,0.120,0.130,0
13,0.130,0.140,0
14,0.140,0.150,0
15,0.150,0.160,0
16,0.160,0.170,0
17,0.170,0.180,0
18,0.180,0.190,0
19,0.190,0.200,0
20,0.200,0.210,0
21,0.210,0.220,0
22,0.220,0.230,0
23,0.230,0.240,0
24,0.240,0.250,0
25,0.250,0.260,0
26,0.260,0.270,0
27,0.270,0.280,0
28,0.280,0.290,0
29,0.290,0.300,0
30,0.300,0.310,0
31,0.310,0.320,0
32,0.320,0.330,0
33,0.330,0.340,0
34,0.340,0.350,0
35,0.350,0.360,0
36,0.360,0.370,0
37,0.370,0.380,0
38,0.380,0.390,0
39,0.390,0.400,0
40,0.400,0.410,0
41,0.410,0.420,0
42,0.420,0.430,0
43,0.430,0.440,0
44,0.440,0.450,0
45,0.450,0.460,0
46,0.460,0.470,0
47,0.470,0.480,0
48,0.480,0.490,0
49,0.490,0.500,0
50,0.500,0.510,0
51,0.510,0.520,0
52,0.520,0.530,0
53,0.530,0.540,0
54,0.540,0.550,0
55,0.550,0.560,0
56,0.560,0.570,0
57,0.570,0.580,0
58,0.580,0.590,0
59,0.590,0.600,0
60,0.600,0.610,0
61,0.610,0.620,0
62,0.620,0.630,0
63,0.630,0.640,0
64,0.640,0.650,0
65,0.650,0.660,0
66,0.660,0.670,0
67,0.670,0.680,0
68,0.680,0.690,0
69,0.690,0.700,0
70,0.700,0.710,0
71,0.710,0.720,0
72,0.720,0.730,0
73,0.730,0.740,0
74,0.740,0.750,0
75,0.750,0.760,0
76,0.760,0.770,0
77,0.770,0.780,0
78,0.780,0.790,0
79,0.790,0.800,0
80,0.800,0.810,0
81,0.810,0.820,0
82,0.820,0.830,0
83,0.830,0.840,0
84,0.840,0.850,0
85,0.850,0.860,0
86,0.860,0.870,0
87,0.870,0.880,0
88,0.880,0.890,0
89,0.890,0.900,0
90,0.900,0.910,0
91,0.910,0.920,0
92,0.920,0.930,0
93,0.930,0.940,0
94,0.940,0.950,0
95,0.950,0.960,0
96,0.960,0.970,0
97,0.970,0.980,0
98,0.980,0.990,0
99,0.990,1.000,0
100,1.000,1.010,0
101,1.010,1.020,0
102,1.020,1.030,0
103,1.030,1.040,0
104,1.040,1.050,0
105,1.050,1.060,0
106,1.060,1.070,0
107,1.070,1.080,0
108,1.080,1.090,0
109,1.090,1.100,0
110,1.100,1.110,0
111,1.110,1.120,0
112,1.120,1.130,0
113,1.130,1.140,0
114,1.140,1.150,0
115,1.150,1.160,0
116,1.160,1.170,0
117,1.170,1.180,0
118,1.180,1.190,0
119,1.190,1.200,0
120,1.200,1.210,0
121,1.210,1.220,0
122,1.220,1.230,0
123,1.230,1.240,0
124,1.240,1.250,0
125,1.250,1.260,0
126,1.260,1.270,0
127,1.270,1.280,0
128,1.280,1.290,0
129,1.290,1.300,0
130,1.300,1.310,0
131,1.310,1.320,0
132,1.320,1.330,0
133,1.330,1.340,0
134,1.340,1.350,0
135,1.350,1.360,0
136,1.360,1.370,0
137,1.370,1.380,0
138,1.380,1.390,0
139,1.390,1.400,0
140,1.400,1.410,0
141,1.410,1.420,0
142,1.420,1.430,0
143,1.430,1.440,0
144,1.440,1.450,0
145,1.450,1.460,0
146,1.460,1.470,0
147,1.470,1.480,0
148,1.480,1.490,0
149,1.490,1.500,0
150,1.500,1.510,0
151,1.510,1.520,0
152,1.520,1.530,0
153,1.530,1.540,0
154,1.540,1.550,0
155,1.550,1.560,0
156,1.560,1.570,0
157,1.570,1.580,0
158,1.580,1.590,0
159,1.590,1.600,0
160,1.600,1.610,0
161,1.610,1.620,0
162,1.620,1.630,0
163,1.630,1.640,0
164,1.640,1.650,0
165,1.650,1.660,0
166,1.660,1.670,0
167,1.670,1.680,0
168,1.680,1.690,0
169,1.690,1.700,0
170,1.700,1.710,0
171,1.710,1.720,0
172,1.720,1.730,0
173,1.730,1.740,0
174,1.740,1.750,0
175,1.750,1.760,0
176,1.760,1.770,0
177,1.770,1.780,0
178,1.780,1.790,0
179,1.790,1.800,0
180,1.800,1.810,0
181,1.810,1.820,0
182,1.820,1.830,0
183,1.830,1.840,0
184,1.840,1.850,0
185,1.850,1.860,0
186,1.860,1.870,0
187,1.870,1.880,0
188,1.880,1.890,0
189,1.890,1.900,0
190,1.900,1.910,0
191,1.910,1.920,0
192,1.920,1.930,0
193,1.930,1.940,0
194,1.940,1.950,0
195,1.950,1.960,0
196,1.960,1.970,0
197,1.970,1.980,0
198,1.980,1.990,0
199,1.990,2.000,0
200,2.000,2.010,0
201,2.010,2.020,0
202,2.020,2.030,0
203,2.030,2.040,0
204,2.040,2.050,0
205,2.050,2.060,0
206,2.060,2.070,0
207,2.070,2.080,0
208,2.080,2.090,0
209,2.090,2.100,0
210,2.100,2.110,0
211,2.110,2.120,0
212,2.120,2.130,0
213,2.130,2.140,0
214,2.140,2.150,0
215,2.150,2.160,0
216,2.160,2.170,0
217,2.170,2.180,0
218,2.180,2.190,0
219,2.190,2.200,0
220,2.200,2.210,0
221,2.210,2.220,0
222,2.220,2.230,0
223,2.230,2.240,0
224,2.240,2.250,0
225,2.250,2.260,0
226,2.260,2.270,0
227,2.270,2.280,0
228,2.280,2.290,0
229,2.290,2.300,0
230,2.300,2.310,0
231,2.310,2.320,0
232,2.320,2.330,0
233,2.330,2.340,0
234,2.340,2.350,0
235,2.350,2.360,0
236,2.360,2.370,0
237,2.370,2.380,0
238,2.380,2.390,0
239,2.390,2.400,0
240,2.400,2.410,0
241,2.410,2.420,0
242,2.420,2.430,0
243,2.430,2.440,0
244,2.440,2.450,0
245,2.450,2.460,0
246,2.460,2.470,0
247,2.470,2.480,0
248,2.480,2.490,0
249,2.490,2.500,0
250,2.500,2.510,0
251,2.510,2.520,0
252,2.520,2.530,0
253,2.530,2.540,0
254,2.540,2.550,0
255,2.550,2.560,0
256,2.560,2.570,0
257,2.570,2.580,0
258,2.580,2.590,0
259,2.590,2.600,0
260,2.600,2.610,0
261,2.610,2.620,0
262,2.620,2.630,0
263,2.630,2.640,0
264,2.640,2.650,0
265,2.650,2.660,0
266,2.660,2.670,0
267,2.670,2.680,0
268,2.680,2.690,0
269,2.690,2.700,0
270,2.700,2.710,0
271,2.710,2.720,0
272,2.720,2.730,0
273,2.730,2.740,0
274,2.740,2.750,0
275,2.750,2.760,0
276,2.760,2.770,0
277,2.770,2.780,0
278,2.780,2.790,0
279,2.790,2.800,0
280,2.800,2.810,0
281,2.810,2.820,0
282,2.820,2.830,0
283,2.830,2.840,0
284,2.840,2.850,0
285,2.850,2.860,0
286,2.860,2.870,0
287,2.870,2.880,0
288,2.880,2.890,0
289,2.890,2.900,0
290,2.900,2.910,0
291,2.910,2.920,0
292,2.920,2.930,0
293,2.930,2.940,0
294,2.940,2.950,0
295,2.950,2.960,0
296,2.960,2.970,0
